Date,PE Ratio
31/10/2019,51.41
30/10/2019,45.82
29/10/2019,45.81
28/10/2019,46.68
25/10/2019,46.17
24/10/2019,44.44
23/10/2019,44.04
22/10/2019,44.16
21/10/2019,44.25
18/10/2019,43
17/10/2019,43.86
16/10/2019,43.84
15/10/2019,44.33
14/10/2019,42.11
11/10/2019,41.98
10/10/2019,41.32
9/10/2019,40.79
8/10/2019,40.01
7/10/2019,41.61
4/10/2019,41.08
3/10/2019,40.93
2/10/2019,39.06
1/10/2019,39.28
30/9/2019,39.29
27/9/2019,38.77
26/9/2019,40.03
25/9/2019,40.23
24/9/2019,38.95
23/9/2019,39.47
20/9/2019,38.98
19/9/2019,39.94
18/9/2019,40.63
17/9/2019,40.87
16/9/2019,40.68
13/9/2019,41.07
12/9/2019,41.6
11/9/2019,41.61
10/9/2019,41.35
9/9/2019,40.74
6/9/2019,40.33
5/9/2019,40.57
4/9/2019,38.09
3/9/2019,37.06
30/8/2019,37.81
29/8/2019,37.7
28/8/2019,36.39
27/8/2019,36.52
26/8/2019,37.35
23/8/2019,36.67
22/8/2019,38.71
21/8/2019,38.65
20/8/2019,37.89
19/8/2019,38.55
16/8/2019,36.02
15/8/2019,33.58
14/8/2019,33.88
13/8/2019,35.23
12/8/2019,34.19
9/8/2019,34.8
8/8/2019,35.72
7/8/2019,34.74
6/8/2019,34.39
5/8/2019,34.04
2/8/2019,36.39
1/8/2019,37.23
31/7/2019,38.09
30/7/2019,33.17
29/7/2019,33.05
26/7/2019,33.09
25/7/2019,32.78
24/7/2019,33.77
23/7/2019,33.21
22/7/2019,32.39
19/7/2019,31.84
18/7/2019,32.17
17/7/2019,32.08
16/7/2019,31.58
15/7/2019,31.62
12/7/2019,31.68
11/7/2019,31.43
10/7/2019,30.26
9/7/2019,29.74
8/7/2019,29.72
5/7/2019,30.29
3/7/2019,30.77
2/7/2019,30.67
1/7/2019,31.41
28/6/2019,31.05
27/6/2019,30.86
26/6/2019,30.11
25/6/2019,28.64
24/6/2019,28.86
21/6/2019,28.69
20/6/2019,29.13
19/6/2019,28.95
18/6/2019,28.9
17/6/2019,27.42
14/6/2019,27.34
13/6/2019,28.03
12/6/2019,27.64
11/6/2019,28.5
10/6/2019,28.06
7/6/2019,27.5
6/6/2019,27.18
5/6/2019,26.71
4/6/2019,27.03
3/6/2019,25.29
31/5/2019,25.61
30/5/2019,26.3
29/5/2019,26.53
28/5/2019,27.09
24/5/2019,27.44
23/5/2019,27.85
22/5/2019,28.77
21/5/2019,29.31
20/5/2019,28.69
17/5/2019,29.59
16/5/2019,30.28
15/5/2019,30.17
14/5/2019,30.63
13/5/2019,29.95
10/5/2019,31.91
9/5/2019,32.17
8/5/2019,32.88
7/5/2019,32.72
6/5/2019,34
3/5/2019,34.6
2/5/2019,34.63
1/5/2019,34.12
30/4/2019,34.22
29/4/2019,27.05
26/4/2019,26.86
25/4/2019,28.19
24/4/2019,28.83
23/4/2019,28.76
22/4/2019,28.43
18/4/2019,28.1
17/4/2019,28.25
16/4/2019,28.39
15/4/2019,27.86
12/4/2019,28.66
11/4/2019,28.89
10/4/2019,28.97
9/4/2019,28.55
8/4/2019,28.93
5/4/2019,28.8
4/4/2019,28.4
3/4/2019,28.45
2/4/2019,27.6
1/4/2019,27.49
29/3/2019,27.08
28/3/2019,26.73
27/3/2019,26.62
26/3/2019,26.68
25/3/2019,26.21
22/3/2019,26.77
21/3/2019,27.74
20/3/2019,26.3
19/3/2019,26.5
18/3/2019,25.48
15/3/2019,25.61
14/3/2019,24.97
13/3/2019,25.43
12/3/2019,24.51
11/3/2019,24.3
8/3/2019,22.72
7/3/2019,22.51
6/3/2019,22.93
5/3/2019,23.61
4/3/2019,23.65
1/3/2019,23.6
28/2/2019,23.27
27/2/2019,23.44
26/2/2019,23.7
25/2/2019,23.94
